pregunta,categoria,dificultad,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,correctas
"En el modelo ADKAR, la fase Reinforcement (Refuerzo) busca:",Modulo 6: Gestion del Cambio,Media,Sostener el cambio en el tiempo mediante reconocimiento y metricas de adopcion,Generar la conciencia inicial sobre el cambio,Definir el alcance del proyecto,Contratar consultores externos,,A
"En la fase Desire del cambio, mostrar el ""WIIFM"" significa:",Modulo 6: Gestion del Cambio,Dificil,What is In It For Me: que cada persona vea como el cambio le beneficia a ella,Work In Internal Functional Model: un modelo funcional interno,When It IsFormally Mandatory: cuando es obligatorio,Without Implementing Formal Methods: sin metodos formales,,A
Un tip clave del modulo para gestionar el cambio es:,Modulo 6: Gestion del Cambio,Media,Empezar por los early adopters (los que quieren) y dejar que ellos contagien al resto,Concentrar toda la energia en convencer a los mas resistentes,Lanzar el cambio en todas las areas el mismo dia,Mantener el progreso oculto para evitar presion,,A
"Segun el modulo, el refuerzo continuo es:",Modulo 6: Gestion del Cambio,Media,Lo que marca la diferencia entre un proyecto temporal y una cultura sostenible,Un paso opcional que se puede omitir,Una tarea exclusiva de la auditoria externa,Innecesario si el cambio ya fue aprobado,,A
"Segun el modulo de Gestion de Riesgos, la severidad de un riesgo se calcula como:",Modulo 7: Gestion de Riesgos,Facil,Impacto x Probabilidad,Impacto + Probabilidad,Impacto / Probabilidad,Probabilidad - Impacto,,A
¿Como se define un riesgo en el modulo?,Modulo 7: Gestion de Riesgos,Media,Una situacion no deseable con probabilidad de ocurrir y consecuencia potencialmente negativa,Un evento que siempre genera ganancias para la organizacion,Una actividad que agrega valor al cliente,Un documento aprobado por el Directorio,,A
"En la gestion de riesgos, ¿que area constituye la 2a linea de defensa?",Modulo 7: Gestion de Riesgos,Media,"El area de Gestion de Riesgos, que supervisa y asesora",Todas las areas operativas de la organizacion,La Auditoria Interna,El area Comercial,,A
El Apetito de Riesgo se define como:,Modulo 7: Gestion de Riesgos,Media,El riesgo que la organizacion esta dispuesta a aceptar en la busqueda de su mision y vision,La cantidad maxima de riesgo que la organizacion es capaz de soportar,El nivel de variacion aceptable en los resultados,El numero total de riesgos identificados,,A
La Capacidad de Riesgo se refiere a:,Modulo 7: Gestion de Riesgos,Dificil,La cantidad y tipo de riesgo maximo que una organizacion es capaz de soportar,El riesgo que la organizacion desea aceptar voluntariamente,El numero de auditorias que se realizan al ano,La probabilidad de un unico evento de riesgo,,A
La Tolerancia al Riesgo se define como:,Modulo 7: Gestion de Riesgos,Dificil,El nivel aceptable de variacion en los resultados para lograr los objetivos,El presupuesto asignado al area de riesgos,La cantidad de riesgos transferidos a un seguro,El numero de controles de un proceso,,A
"Para determinar el apetito de riesgo, ¿que herramienta se sugiere usar para evaluar el contexto?",Modulo 7: Gestion de Riesgos,Media,Un FODA o un PESTEL,Un diagrama de Gantt,Un flujograma BPMN,Una encuesta NPS,,A
¿Cual es el paso final para determinar el apetito de riesgo de la organizacion?,Modulo 7: Gestion de Riesgos,Media,Aprobarlo formalmente con la Alta Direccion en un comite,Publicarlo en redes sociales,Delegarlo al cargo mas junior del area,Mantenerlo sin aprobacion para darle flexibilidad,,A
¿Cual es el orden correcto del ciclo de gestion de riesgos?,Modulo 7: Gestion de Riesgos,Media,"Identificar, Analizar, Evaluar, Tratar, Monitorear","Tratar, Monitorear, Identificar, Analizar, Evaluar","Evaluar, Identificar, Monitorear, Tratar, Analizar","Monitorear, Tratar, Evaluar, Analizar, Identificar",,A
La taxonomia para la correcta redaccion de un riesgo sigue la estructura:,Modulo 7: Gestion de Riesgos,Media,"Causa, Riesgo y Efecto","Entrada, Proceso y Salida","Plan, Hacer y Verificar","Inicio, Desarrollo y Cierre",,A
La norma de referencia para las tecnicas de identificacion de riesgos mencionada en el modulo es:,Modulo 7: Gestion de Riesgos,Dificil,ISO 31010,ISO 9001,BPMN 2.0,ISO 14001,,A
Las tecnicas para identificar riesgos se agrupan en tres enfoques:,Modulo 7: Gestion de Riesgos,Media,"Analiticos, Creativos y Clasicos","Internos, externos y mixtos","Preventivos, detectivos y correctivos","Estrategicos, tacticos y operativos",,A
"En la Matriz de Impacto, cuando un riesgo afecta varias dimensiones, el nivel de impacto que se asigna es:",Modulo 7: Gestion de Riesgos,Dificil,"El MAYOR de todas las dimensiones, nunca el promedio",El promedio de todas las dimensiones,El menor de todas las dimensiones,La suma de todas las dimensiones,,A
La Matriz de Probabilidad del modulo se construye con base en:,Modulo 7: Gestion de Riesgos,Media,La frecuencia historica de eventos en los ultimos 12 meses,La opinion de un solo directivo,El presupuesto del area de riesgos,El numero de empleados del proceso,,A
"En la Matriz de Probabilidad, el nivel 5 ""Casi Cierta"" corresponde a un evento que:",Modulo 7: Gestion de Riesgos,Dificil,Se ha presentado mas de 5 veces en los ultimos 12 meses,No se ha presentado en los ultimos 12 meses,Se ha presentado una sola vez en 12 meses,Solo podria ocurrir dentro de 10 anos,,A
"En el mapa de calor de severidad, un riesgo clasificado como ""Extremo"" requiere:",Modulo 7: Gestion de Riesgos,Media,Accion inmediata,Solo monitoreo,Ninguna intervencion,Esperar a la auditoria anual,,A
¿Cuales son las opciones de tratamiento de un riesgo descritas en el modulo?,Modulo 7: Gestion de Riesgos,Media,"Aceptar, Reducir/Mitigar, Transferir, Evitar y Diversificar","Ignorar, Ocultar, Posponer y Olvidar","Documentar, Archivar y Comunicar","Planear, Hacer, Verificar y Actuar",,A
"La opcion de tratamiento ""Transferir"" un riesgo consiste en:",Modulo 7: Gestion de Riesgos,Media,"Trasladar el riesgo a un tercero mediante seguros, outsourcing o contratos con clausulas de responsabilidad",Eliminar la actividad que genera el riesgo,Aceptar el riesgo sin intervenir,Implementar controles preventivos internos,,A
El enfoque Bottom-Up de la gestion de riesgos basada en procesos significa que:,Modulo 7: Gestion de Riesgos,Dificil,Los riesgos se miden desde las actividades y subprocesos hacia los macroprocesos,Los riesgos solo los define la alta direccion,Los riesgos se miden de los macroprocesos hacia abajo unicamente,Los riesgos no se asocian a ningun proceso,,A
Los KRIs (Indicadores Clave de Riesgo) sirven para:,Modulo 7: Gestion de Riesgos,Media,"Alertar cuando un riesgo se acerca a la tolerancia, permitiendo anticiparse al evento",Medir la satisfaccion del cliente externo,Calcular la nomina del area de riesgos,Documentar el flujograma del proceso,,A
"Segun los tips del modulo, un ""riesgo huerfano"" es:",Modulo 7: Gestion de Riesgos,Media,"Un riesgo que no esta asociado a ningun proceso, subproceso o actividad",Un riesgo que ya fue mitigado por completo,Un riesgo aprobado por el Directorio,Un riesgo de baja probabilidad,,A
"Segun los tips del modulo, los KRIs y los eventos de riesgo deben usarse:",Modulo 7: Gestion de Riesgos,Media,"Como herramientas de mejora, no de penalizacion, porque el miedo mata el reporte",Para sancionar a los responsables de cada area,Solo durante las auditorias externas,Para reducir el presupuesto de las areas,,A
"Segun el modulo, el proposito real de auditar un sistema de gestion por procesos es:",Modulo 8: Auditoria y Mejora,Media,"Dar fe de que el sistema funciona y senalar donde no, sin buscar culpables",Encontrar responsables para sancionarlos,Reducir el numero de empleados,Aumentar la carga administrativa de las areas,,A
"En la auditoria de un sistema de gestion por procesos, la 2a linea audita principalmente:",Modulo 8: Auditoria y Mejora,Media,"El DISENO del sistema (politica, metodologia, herramientas, cultura)",Unicamente las finanzas de la empresa,La satisfaccion del cliente externo,El cumplimiento tributario,,A
"La auditoria de EJECUCION, que verifica si el sistema funciona en la operacion, la realiza:",Modulo 8: Auditoria y Mejora,Media,"La 1a linea, mediante el Recorrido del Proceso",La 3a linea exclusivamente,Un consultor externo unicamente,El cliente final,,A
"En la cadena de auditoria, la 3a linea (Auditoria Interna):",Modulo 8: Auditoria y Mejora,Media,Audita de forma independiente tanto a la 1a como a la 2a linea,Solo ejecuta los procesos operativos,Disena la metodologia del sistema,No participa en la auditoria,,A
La Auditoria de Diseno responde a la pregunta de fondo:,Modulo 8: Auditoria y Mejora,Media,¿El sistema esta bien construido?,¿Cuanto cuesta el producto?,¿Quien tiene la culpa del error?,¿Cuantos empleados tiene el area?,,A
La Auditoria de Ejecucion responde a la pregunta de fondo:,Modulo 8: Auditoria y Mejora,Media,¿El sistema funciona en la operacion?,¿El sistema esta bien construido en el papel?,¿Cual es la utilidad neta del ano?,¿Que opinan los accionistas?,,A
¿Cuales son cuatro de las 8 dimensiones a auditar segun el modulo?,Modulo 8: Auditoria y Mejora,Dificil,"Politica, Metodologia, Herramientas y Cultura","Ventas, Marketing, Finanzas y Legal","Cliente, Proveedor, Regulador y Accionista","Vision, Mision, Valores y Logotipo",,A
El plan de auditoria se construye en 6 pasos. El primero es:,Modulo 8: Auditoria y Mejora,Media,"Definir el universo auditable (procesos, areas y dimensiones del sistema)",Cerrar los hallazgos del ano anterior,Comunicar el plan a las areas,Calendarizar las auditorias,,A
"En la clasificacion de criticidad de procesos para el plan de auditoria, un proceso de clase A requiere:",Modulo 8: Auditoria y Mejora,Media,Auditoria anual obligatoria,Auditoria cada 24-36 meses,Auditoria solo si hay una queja,Ninguna auditoria,,A
Un proceso clasificado como clase C en la matriz de criticidad se audita:,Modulo 8: Auditoria y Mejora,Dificil,Cada 24-36 meses,Anualmente de forma obligatoria,Cada semana,Nunca,,A
La matriz de criticidad que prioriza el universo auditable se basa en:,Modulo 8: Auditoria y Mejora,Media,La probabilidad de falla por el impacto sobre el negocio,El orden alfabetico de los procesos,La antiguedad del dueno del proceso,El tamano del presupuesto del area,,A
¿Quien ejecuta el Recorrido del Proceso (Process Walkthrough)?,Modulo 8: Auditoria y Mejora,Media,"La 1a linea: el dueno del proceso, acompanado por la 2a linea",Exclusivamente un auditor externo,El cliente final del proceso,El Directorio de la empresa,,A
¿Cuales son las 6 dimensiones del cuestionario del Recorrido del Proceso?,Modulo 8: Auditoria y Mejora,Dificil,"Flujograma BPMN, Procedimiento, Riesgos, Controles, Indicadores y VSM","Vision, Mision, Valores, Politica, Objetivos y Auditoria","Ventas, Compras, Finanzas, RRHH, TI y Legal","Plan, Hacer, Verificar, Actuar, Medir y Reportar",,A
"En el cuestionario del Recorrido del Proceso, si una respuesta no tiene evidencia, entonces:",Modulo 8: Auditoria y Mejora,Media,La respuesta se considera NO,La respuesta se considera SI por defecto,La pregunta se elimina del cuestionario,Se asigna automaticamente PARCIAL,,A
¿Cuales son los tres tipos de hallazgo de una auditoria?,Modulo 8: Auditoria y Mejora,Media,"No Conformidad (NC), Observacion (OBS) y Oportunidad (OPP)","Critico, Grave y Leve","Interno, Externo y Mixto","Estrategico, Tactico y Operativo",,A
Una No Conformidad (NC) se define como:,Modulo 8: Auditoria y Mejora,Media,"El incumplimiento de un requisito de la politica, metodologia o regulacion; exige accion correctiva obligatoria",Una posibilidad de mejora que genera valor sin responder a un incumplimiento,Una situacion que aun no es incumplimiento pero podria llegar a serlo,Un elogio al desempeno del proceso,,A
Una Observacion (OBS) en una auditoria corresponde a:,Modulo 8: Auditoria y Mejora,Media,Una situacion que aun no es incumplimiento pero podria serlo: un riesgo emergente,Un incumplimiento grave de la regulacion,Una oportunidad de mejora sin plazo obligatorio,Un hallazgo que se debe ignorar,,A
Una Oportunidad (OPP) de mejora en una auditoria:,Modulo 8: Auditoria y Mejora,Media,"No responde a un incumplimiento, pero genera valor; pasa al backlog de mejora",Es un incumplimiento que exige accion correctiva en 30 dias,Debe escalarse de inmediato al Directorio,Obliga a detener el proceso,,A
"Un plan de accion que realmente cierra un hallazgo debe incluir, entre sus 8 elementos:",Modulo 8: Auditoria y Mejora,Dificil,La causa raiz y la verificacion de eficacia,El logo de la empresa y la fecha de fundacion,El numero de empleados del area,La utilidad del ultimo trimestre,,A
"Para identificar correctamente la causa raiz de un hallazgo, el modulo sugiere usar:",Modulo 8: Auditoria y Mejora,Media,Los 5 Por Que o el diagrama de Ishikawa,Una encuesta de clima laboral,El balance general,El organigrama de la empresa,,A
"Uno de los 4 KPIs del sistema de auditoria es el ""% Plan Ejecutado"", cuya meta es:",Modulo 8: Auditoria y Mejora,Dificil,Mayor o igual a 95%,Mayor o igual a 50%,Menor o igual a 10%,Exactamente 70%,,A
"El KPI ""% Hallazgos Recurrentes"" del sistema de auditoria mide la calidad de la accion correctiva y su meta es:",Modulo 8: Auditoria y Mejora,Dificil,Menor o igual a 10%,Mayor o igual a 95%,Mayor o igual a 85%,Igual a 100%,,A
"Segun el Modulo 9, ¿que proporcion de iniciativas de mejora continua mueren a los 90 dias?",Modulo 9: Medir y Mejorar,Facil,7 de cada 10,1 de cada 10,3 de cada 10,Ninguna,,A
"Segun el modulo, la diferencia entre una empresa que mejora y una que no es:",Modulo 9: Medir y Mejorar,Media,El gobierno de la mejora,La cantidad de ideas que generan sus empleados,El tamano de su presupuesto de marketing,El numero de oficinas que tiene,,A
¿Cual es el ciclo real que cierra la mejora despues de estandarizar?,Modulo 9: Medir y Mejorar,Media,"Estandarizar, Medir, Detectar problemas y Mejorar","Vender, Cobrar, Pagar y Reportar","Contratar, Capacitar, Evaluar y Despedir","Planear, Comunicar, Archivar y Olvidar",,A
¿Cuales son los 4 canales de mejora continua que activa toda organizacion madura?,Modulo 9: Medir y Mejorar,Media,"Cliente Externo, Interno, Benchmarking y Auditoria","Marketing, Ventas, Finanzas y Legal","Telefono, Correo, Chat y Redes","Estrategico, Tactico, Operativo y Soporte",,A
"En el canal de Cliente Externo, ¿cual es la diferencia entre Inbound y Outbound?",Modulo 9: Medir y Mejorar,Media,"Inbound son las quejas y reclamos que entran; Outbound es cuando nosotros preguntamos por la satisfaccion",Inbound es interno y Outbound es externo,Inbound es anual y Outbound es mensual,No existe ninguna diferencia entre ambos,,A
El NPS (Net Promoter Score) se calcula como:,Modulo 9: Medir y Mejorar,Dificil,Promotores menos Detractores,El promedio de la escala de satisfaccion,El porcentaje de respuestas 4 y 5,El total de quejas dividido por el total de clientes,,A
El CES (Customer Effort Score) mide:,Modulo 9: Medir y Mejorar,Media,Que tan facil fue para el cliente resolver su necesidad,Cuanto dinero gasta el cliente al ano,Cuantos empleados atienden al cliente,El costo del producto para la empresa,,A
El CSAT (Customer Satisfaction) se calcula tipicamente como:,Modulo 9: Medir y Mejorar,Dificil,El porcentaje de respuestas 4 y 5 en la escala,Promotores menos Detractores,La suma de todas las quejas,El tiempo promedio de respuesta,,A
"En el canal Interno de mejora, ¿que herramientas alimentan el registro de problemas?",Modulo 9: Medir y Mejorar,Media,"KPIs, KRIs, riesgos, VSM y los desperdicios Lean",Solo las quejas de los clientes externos,Unicamente las auditorias regulatorias,Las redes sociales y los correos electronicos,,A
El canal de Benchmarking consiste en:,Modulo 9: Medir y Mejorar,Media,Comparar el producto o servicio caracteristica a caracteristica contra un competidor del mismo nicho,Auditar internamente todos los procesos cada mes,Encuestar unicamente a los empleados,Revisar solo los estados financieros,,A
"En el benchmarking, los CTQs (Critical to Quality) son:",Modulo 9: Medir y Mejorar,Media,Los 5-10 atributos criticos de calidad que el cliente valora,Los costos totales de la calidad,Las cuentas por cobrar trimestrales,Los certificados de los empleados,,A
"Sobre la trazabilidad problema-proceso, el modulo indica que:",Modulo 9: Medir y Mejorar,Media,"Un mismo problema puede impactar uno o varios procesos, y el registro debe permitirlo",Cada problema impacta siempre un unico proceso,Los problemas no deben asociarse a procesos,Solo la auditoria puede asociar problemas a procesos,,A
"¿Cual es el flujo completo de la mejora, de la deteccion al cierre?",Modulo 9: Medir y Mejorar,Dificil,"Detectar, Registrar, Asociar, Priorizar, Ejecutar y Verificar","Vender, Facturar, Cobrar y Archivar","Planear, Hacer, Comunicar y Olvidar","Definir, Medir, Analizar y Controlar",,A
El Comite de Calidad y Mejora Continua se reune:,Modulo 9: Medir y Mejorar,Media,Mensualmente (60-90 minutos) y es presidido por el lider del area de Procesos,"Una sola vez al ano, presidido por un cliente","Diariamente, presidido por un auditor externo","Nunca; las decisiones las toma un solo gerente",,A
"Segun el modulo, ¿cual es una de las trampas de las empresas que no mejoran?",Modulo 9: Medir y Mejorar,Media,"Documentan procesos pero no miden, o miden pero no actuan, o actuan pero no cierran","Miden, actuan y cierran todos sus planes a tiempo",Tienen demasiados canales de mejora activos,Reportan sus indicadores con exceso de analisis,,A
"En la salida esperada del sistema de mejora, la meta de ""% Iniciativas cerradas en plazo"" es:",Modulo 9: Medir y Mejorar,Dificil,Mayor o igual a 85%,Menor o igual a 10%,Exactamente 50%,Mayor o igual a 30%,,A
"En la salida esperada del sistema de mejora, ¿cual debe ser el ""% Problemas con proceso asociado""?",Modulo 9: Medir y Mejorar,Dificil,100%,50%,25%,70%,,A
"En el canal Interno, los 8 desperdicios Lean se identifican con el acronimo:",Modulo 9: Medir y Mejorar,Media,DOWNTIME,DMAIC,SIPOC,PESTEL,,A
Lean Manufacturing tuvo su origen en:,Modulo 10: Lean Six Sigma,Media,"Toyota, con Taiichi Ohno, en la decada de 1950","Motorola, con Bill Smith, en 1986","General Electric, con Jack Welch, en 1995","Amazon, con Jeff Bezos, en 2000",,A
Six Sigma tuvo su origen en:,Modulo 10: Lean Six Sigma,Media,"Motorola, con Bill Smith, en 1986","Toyota, con Taiichi Ohno, en 1950","Apple, con Steve Jobs, en 1976","Walmart, con Sam Walton, en 1962",,A
¿Cual es el foco principal de Lean Manufacturing?,Modulo 10: Lean Six Sigma,Facil,Eliminar los desperdicios (Muda),Reducir la variacion estadistica de los procesos,Aumentar el inventario de seguridad,Incrementar la cantidad de auditorias,,A
¿Cual es el foco principal de Six Sigma?,Modulo 10: Lean Six Sigma,Facil,Reducir la variacion del proceso para eliminar defectos,Eliminar los 8 desperdicios al mismo tiempo,Aumentar la sobreproduccion,Reducir el numero de empleados,,A
La pregunta clave que guia a Lean Manufacturing es:,Modulo 10: Lean Six Sigma,Media,¿Esta actividad agrega valor al cliente?,¿Cuanto se desvia mi proceso de lo esperado?,¿Cuantos empleados tiene el area?,¿Que opina el accionista mayoritario?,,A
¿Como se complementan Lean y Six Sigma?,Modulo 10: Lean Six Sigma,Media,"Lean elimina lo que NO agrega valor; Six Sigma reduce la variacion de lo que SI agrega valor",Lean reduce la variacion y Six Sigma elimina desperdicios,Ambos hacen exactamente lo mismo,Lean es para servicios y Six Sigma solo para finanzas,,A
"Dentro de los 8 desperdicios, ¿en cual se especializa Six Sigma?",Modulo 10: Lean Six Sigma,Media,"En el de Defectos (calidad), atacando la variacion con rigor estadistico",En el de Transporte unicamente,En el de Inventario unicamente,En los 8 desperdicios por igual,,A
¿Cuales son las 5 fases del ciclo DMAIC?,Modulo 10: Lean Six Sigma,Media,"Definir, Medir, Analizar, Mejorar (Improve) y Controlar","Disenar, Modelar, Auditar, Implementar y Cerrar","Planear, Hacer, Verificar, Actuar y Reportar","Detectar, Registrar, Asociar, Priorizar y Verificar",,A
"En el ciclo DMAIC, la fase Definir consiste en:",Modulo 10: Lean Six Sigma,Media,Definir UNA caracteristica critica de calidad (CTQ) y la Voz del Cliente (VOC),Estandarizar el proceso con graficos de control,Identificar las causas de la variacion,Implementar la mejora y el piloto,,A
"En el ciclo DMAIC, la fase Analizar busca:",Modulo 10: Lean Six Sigma,Media,"Identificar las causas de la variacion (con Pareto, Ishikawa, regresion)",Definir el alcance del proyecto,Estandarizar con graficos de control SPC,Medir la linea base del proceso,,A
"¿Que significa numericamente ""Six Sigma"" en cuanto a calidad?",Modulo 10: Lean Six Sigma,Media,3.4 defectos por millon de oportunidades (DPMO),690.000 defectos por millon,50% de calidad,100 defectos por cada 1.000 unidades,,A
Un proceso que opera en nivel 6 sigma se considera:,Modulo 10: Lean Six Sigma,Media,De clase mundial (99.9997% de calidad),Caotico y muy malo,Una industria tipica promedio,Un proceso fuera de control,,A
Las siglas VOC en Six Sigma significan:,Modulo 10: Lean Six Sigma,Media,Voice of Customer (la voz del cliente),Variation of Control,Value of Company,Verification of Output Control,,A
"En Six Sigma, el indicador Cp representa:",Modulo 10: Lean Six Sigma,Dificil,La capacidad potencial del proceso: si su amplitud cabe dentro de las tolerancias,La media aritmetica de las mediciones,El numero de defectos por millon,El costo total del proyecto,,A
"A diferencia del Cp, el indicador Cpk:",Modulo 10: Lean Six Sigma,Dificil,"Mide la capacidad real del proceso, considerando si esta centrado o desplazado",Mide unicamente la velocidad de produccion,Es siempre mayor que el Cp,No tiene relacion con la capacidad del proceso,,A
"En estadistica de Six Sigma, la desviacion estandar (sigma) mide:",Modulo 10: Lean Six Sigma,Media,Que tanto se dispersan los datos alrededor de la media,El promedio aritmetico de las mediciones,El numero total de clientes,La utilidad del proyecto,,A
Una disciplina clave de Six Sigma respecto al alcance del proyecto es:,Modulo 10: Lean Six Sigma,Media,Enfocarse en UNA sola caracteristica de calidad (CTQ) por proyecto,Atacar la mayor cantidad posible de CTQs a la vez,No definir ninguna caracteristica de calidad,Cambiar de CTQ en cada fase del DMAIC,,A
"En la capacitacion de Lean Six Sigma, los roles de ""Cinturones"" se distribuyen como:",Modulo 10: Lean Six Sigma,Dificil,"Yellow Belt para todos, Green Belt para lideres de proyecto y Black Belt para expertos full-time",Black Belt para todos y Yellow Belt para expertos,Un unico nivel de cinturon para toda la organizacion,Cinturones asignados por antiguedad laboral,,A
¿Cual de las siguientes es una herramienta tipica de Lean Manufacturing?,Modulo 10: Lean Six Sigma,Media,"Las 5S, Kaizen, Kanban, VSM y Poka-Yoke","Cp, Cpk y DOE",Graficos de control estadistico SPC,Pruebas de hipotesis estadisticas,,A
Un tip clave para implementar Lean Six Sigma en una organizacion es:,Modulo 10: Lean Six Sigma,Media,"Empezar por un piloto pequeno y medible, con patrocinio del CEO, antes de escalar",Lanzar un big bang en todas las areas el primer dia,Evitar medir el beneficio de los proyectos,Prescindir de un sponsor ejecutivo,,A
